Date,Urals,EU Carbon Permits
22/10/2021,82.93,58.27
21/10/2021,81.59,57.98
20/10/2021,83.21,57.78
19/10/2021,82.8,54.55
18/10/2021,82.24,58.56
15/10/2021,82.66,59.44
14/10/2021,81.3,61.44
13/10/2021,81.36,59.07
12/10/2021,81.54,58.93
11/10/2021,82.2,59.15
08/10/2021,80.88,58.33
07/10/2021,80.28,60.37
06/10/2021,79.44,59.12
05/10/2021,81.19,64.72
04/10/2021,79.7,63.4
01/10/2021,76.67,62.04
30/09/2021,75.86,61.74
29/09/2021,76.1,62.88
28/09/2021,76.48,61.92
27/09/2021,77.01,64.37
24/09/2021,75.16,62.94
23/09/2021,74.34,60.54
22/09/2021,72.91,60.6
21/09/2021,71.27,60.16
20/09/2021,71.86,60.68
17/09/2021,72.21,59.48
16/09/2021,72.38,59.31
15/09/2021,74.09,59.86
14/09/2021,72.05,59.85
13/09/2021,71.85,61.07
10/09/2021,71.15,60.92
09/09/2021,71.38,62.75
08/09/2021,71.24,62.45
07/09/2021,69.33,61.99
06/09/2021,70.03,62.31
03/09/2021,70.94,61.32
02/09/2021,71.43,61.52
01/09/2021,68.68,60.12
31/08/2021,70.88,60.76
30/08/2021,69.22,60.76
27/08/2021,69.22,59
26/08/2021,68.13,56.86
25/08/2021,68.77,56.54
24/08/2021,67.99,56.64
23/08/2021,66.1,55.34
20/08/2021,63.43,54.38
19/08/2021,63.28,53.5
18/08/2021,66.75,57.13
17/08/2021,67.29,57.23
16/08/2021,67.1,58.16
13/08/2021,68.85,55.38
12/08/2021,69.11,56.26
11/08/2021,68.04,57.78
10/08/2021,68.82,57.41
09/08/2021,66.79,56.62
06/08/2021,69.17,56.66
05/08/2021,69.75,55.98
04/08/2021,70.14,55.46
03/08/2021,70.6,54.19
02/08/2021,71.43,54.43
30/07/2021,73.97,53.33
29/07/2021,73.23,54.05
28/07/2021,72.44,53.84
27/07/2021,72.37,52.91
26/07/2021,71.79,53.2
23/07/2021,71.96,50.89
22/07/2021,70.66,50.79
21/07/2021,69.61,52.14
20/07/2021,67.25,51.21
19/07/2021,67.29,52.41
16/07/2021,71.99,52.89
15/07/2021,72.95,52.97
14/07/2021,74.59,53.37
13/07/2021,74.34,52.85
12/07/2021,74.28,51.71
09/07/2021,74.81,54.26
08/07/2021,71.95,52.35
07/07/2021,71.35,52.62
06/07/2021,73.47,54.02
05/07/2021,75.48,57.87
02/07/2021,74.85,57.35
01/07/2021,74.66,57.65
30/06/2021,74.91,56.37
29/06/2021,73.43,55.64
28/06/2021,73.38,55.5
25/06/2021,74.21,55.05
24/06/2021,73.81,55.09
23/06/2021,73.76,54.67
22/06/2021,72.92,53.41
21/06/2021,71.99,52.42
18/06/2021,71.22,51.9
17/06/2021,71.02,50.91
16/06/2021,72.54,51.34
15/06/2021,71.21,51.4
14/06/2021,70.73,52.9
11/06/2021,70.01,52.67
10/06/2021,69.66,53.78
09/06/2021,69.5,53.51
08/06/2021,68.9,52.17
07/06/2021,69.58,51.47
04/06/2021,69.8,49.97
03/06/2021,68.88,50.24
02/06/2021,68.91,51.4
01/06/2021,68.81,52.41
28/05/2021,67.74,51.03
27/05/2021,67.36,51.84
26/05/2021,67.28,53.67
25/05/2021,67.03,53.32
24/05/2021,66.64,52.77
21/05/2021,65.25,51.75
20/05/2021,64.86,52.7
19/05/2021,64.82,49.68
18/05/2021,68.06,53.07
17/05/2021,67.91,56.34
14/05/2021,67.51,56.65
13/05/2021,66.31,54.49
12/05/2021,68.53,55.32
11/05/2021,66.71,53.04
10/05/2021,66.43,52.22
07/05/2021,66.67,50.45
06/05/2021,67.13,49.94
05/05/2021,68.44,49.45
04/05/2021,67.22,48.61
03/05/2021,65.69,49.42
30/04/2021,65.69,48.84
29/04/2021,65.95,48.02
28/04/2021,65.44,47.79
27/04/2021,63.67,47.3
26/04/2021,63.53,47.2
23/04/2021,63.62,46.95
22/04/2021,63.12,47.09
21/04/2021,62.56,45.91
20/04/2021,62.45,44.89
19/04/2021,64.39,44.35
16/04/2021,63.94,44.42
15/04/2021,63.75,44.16
14/04/2021,63.79,43.82
13/04/2021,61.03,43.85
12/04/2021,60.68,44.48
09/04/2021,60.06,43.64
08/04/2021,59.73,43.48
07/04/2021,58.75,43.86
06/04/2021,60.25,44.24
05/04/2021,60.35,42.47
01/04/2021,60.35,42.47
31/03/2021,61.63,42.55
30/03/2021,62.05,42.05
29/03/2021,61.74,41.85
26/03/2021,62.35,41.73
25/03/2021,59.89,40.35
24/03/2021,62.16,41.6
23/03/2021,60.21,41.43
22/03/2021,62.29,42.84
19/03/2021,62.09,41.97
18/03/2021,63.33,42.4
17/03/2021,65.64,42.99
16/03/2021,66.05,41.6
15/03/2021,66.91,42.39
12/03/2021,67.61,42.85
11/03/2021,67.9,41.93
10/03/2021,65.45,41.54
09/03/2021,65.86,40.65
08/03/2021,67.4,39.13
05/03/2021,68.07,39.02
04/03/2021,66.43,38.16
03/03/2021,63.44,37.47
02/03/2021,62.69,38.35
01/03/2021,64.55,37.13
26/02/2021,64.92,37.28
25/02/2021,66,38.26
24/02/2021,65.56,39.15
23/02/2021,64.03,38.67
22/02/2021,62.95,37.96
19/02/2021,62.5,37.4
18/02/2021,63.56,38.32
17/02/2021,63.36,38.09
16/02/2021,62.56,38.86
15/02/2021,62.95,39.52
12/02/2021,60.86,40.02
11/02/2021,60.78,38.76
10/02/2021,60.64,39.33
09/02/2021,59.76,38.26
08/02/2021,59.68,38.61
05/02/2021,59.7,38.2
04/02/2021,58.65,37.27
03/02/2021,58.71,37.43
02/02/2021,57.91,34.97
01/02/2021,56.45,32.85
29/01/2021,55.81,32.95
28/01/2021,55.52,33.95
27/01/2021,56.09,33.28
26/01/2021,55.76,33.35
25/01/2021,55.03,33.16
22/01/2021,55.21,34.24
21/01/2021,55.67,34.11
20/01/2021,56.08,32.91
19/01/2021,55.63,33.09
18/01/2021,54.6,31.62
15/01/2021,54.73,31.74
14/01/2021,55.16,33.53
13/01/2021,55.9,33.65
12/01/2021,56.09,34.66
11/01/2021,54.95,34.53
08/01/2021,55.12,34.92
07/01/2021,54.08,34.76
06/01/2021,54.36,33.63
05/01/2021,52.66,32.96
04/01/2021,50.37,33.69
